crop_name,scientific_name,category,season,growth_duration_days,major_indian_states
Lentil,Lens culinaris,Pulse,Rabi,120,"Uttar Pradesh, Madhya Pradesh, Bihar"
Field Pea,Pisum sativum,Pulse,Rabi,100,"Uttar Pradesh, Madhya Pradesh, Bihar"
Cowpea,Vigna unguiculata,Pulse,Kharif,90,"Rajasthan, Karnataka, Maharashtra"
Horse Gram,Macrotyloma uniflorum,Pulse,Kharif/Rabi,120,"Karnataka, Tamil Nadu, Andhra Pradesh"
Kidney Beans,Phaseolus vulgaris,Pulse,Kharif/Rabi,100,"Jammu & Kashmir, Himachal Pradesh, Maharashtra"
Faba Bean,Vicia faba,Pulse,Rabi,120,"Bihar, Uttar Pradesh, Madhya Pradesh"
Grass Pea,Lathyrus sativus,Pulse,Rabi,110,"Bihar, West Bengal, Chhattisgarh"
Moth Bean,Vigna aconitifolia,Pulse,Kharif,90,"Rajasthan, Gujarat, Maharashtra"
Groundnut,Arachis hypogaea,Oilseed,Kharif/Rabi,120,"Gujarat, Rajasthan, Tamil Nadu"
Mustard,Brassica juncea,Oilseed,Rabi,110,"Rajasthan, Haryana, Madhya Pradesh"
Soybean,Glycine max,Oilseed,Kharif,105,"Madhya Pradesh, Maharashtra, Rajasthan"
Sunflower,Helianthus annuus,Oilseed,Kharif/Rabi/Summer,95,"Karnataka, Andhra Pradesh, Maharashtra"
Sesame,Sesamum indicum,Oilseed,Kharif/Rabi,100,"West Bengal, Madhya Pradesh, Gujarat"
Safflower,Carthamus tinctorius,Oilseed,Rabi,120,"Maharashtra, Karnataka, Andhra Pradesh"
Castor Seed,Ricinus communis,Oilseed,Kharif,150,"Gujarat, Rajasthan, Andhra Pradesh"
Linseed,Linum usitatissimum,Oilseed,Rabi,120,"Madhya Pradesh, Uttar Pradesh, Maharashtra"
Niger Seed,Guizotia abyssinica,Oilseed,Kharif,110,"Chhattisgarh, Madhya Pradesh, Odisha"
Sugarcane,Saccharum officinarum,Sugar,Annual,360,"Uttar Pradesh, Maharashtra, Karnataka"
Cotton,Gossypium hirsutum,Fiber,Kharif,180,"Gujarat, Maharashtra, Telangana"
Jute,Corchorus olitorius,Fiber,Kharif,140,"West Bengal, Bihar, Assam"
Tobacco,Nicotiana tabacum,Cash,Rabi,120,"Andhra Pradesh, Gujarat, Karnataka"
Sunn Hemp,Crotalaria juncea,Fiber,Kharif,100,"Uttar Pradesh, Madhya Pradesh, Bihar"
Mesta,Hibiscus cannabinus,Fiber,Kharif,140,"Andhra Pradesh, West Bengal, Bihar"
Potato,Solanum tuberosum,Vegetable,Rabi,100,"Uttar Pradesh, West Bengal, Bihar"
Onion,Allium cepa,Vegetable,Kharif/Rabi/Summer,120,"Maharashtra, Karnataka, Madhya Pradesh"
Tomato,Solanum lycopersicum,Vegetable,Round-the-year,110,"Andhra Pradesh, Madhya Pradesh, Karnataka"
Brinjal,Solanum melongena,Vegetable,Round-the-year,120,"West Bengal, Odisha, Gujarat"
Cabbage,Brassica oleracea var. capitata,Vegetable,Rabi,90,"West Bengal, Odisha, Madhya Pradesh"
Cauliflower,Brassica oleracea var. botrytis,Vegetable,Rabi,100,"West Bengal, Bihar, Madhya Pradesh"
Lady Finger,Abelmoschus esculentus,Vegetable,Kharif/Summer,80,"West Bengal, Bihar, Gujarat"
Garlic,Allium sativum,Vegetable,Rabi,140,"Madhya Pradesh, Gujarat, Rajasthan"
Carrot,Daucus carota,Vegetable,Rabi,90,"Haryana, Punjab, Uttar Pradesh"
Radish,Raphanus sativus,Vegetable,Kharif/Rabi,60,"West Bengal, Bihar, Haryana"
Spinach,Spinacia oleracea,Vegetable,Kharif/Rabi,50,"Uttar Pradesh, West Bengal, Punjab"
Green Peas,Pisum sativum,Vegetable,Rabi,80,"Uttar Pradesh, Madhya Pradesh, Punjab"
Bottle Gourd,Lagenaria siceraria,Vegetable,Kharif/Summer,80,"Bihar, Uttar Pradesh, Madhya Pradesh"
Bitter Gourd,Momordica charantia,Vegetable,Kharif/Summer,80,"Andhra Pradesh, Telangana, Maharashtra"
Ridge Gourd,Luffa acutangula,Vegetable,Kharif/Summer,80,"Maharashtra, Karnataka, Tamil Nadu"
Cucumber,Cucumis sativus,Vegetable,Kharif/Summer,70,"Haryana, Karnataka, Uttar Pradesh"
Capsicum,Capsicum annuum,Vegetable,Rabi/Summer,100,"Karnataka, Himachal Pradesh, Maharashtra"
Sweet Potato,Ipomoea batatas,Vegetable,Kharif/Rabi,120,"Odisha, Kerala, West Bengal"
Cassava,Manihot esculenta,Vegetable,Kharif/Rabi,240,"Kerala, Tamil Nadu, Andhra Pradesh"
Yam,Dioscorea,Vegetable,Kharif/Rabi,240,"Kerala, West Bengal, Andhra Pradesh"
Taro,Colocasia esculenta,Vegetable,Kharif,180,"Kerala, West Bengal, Uttar Pradesh"
Drumstick,Moringa oleifera,Vegetable,Perennial,180,"Tamil Nadu, Karnataka, Andhra Pradesh"
Pumpkin,Cucurbita moschata,Vegetable,Kharif/Summer,100,"West Bengal, Bihar, Uttar Pradesh"
Beetroot,Beta vulgaris,Vegetable,Rabi,75,"Karnataka, Tamil Nadu, Uttar Pradesh"
Turnip,Brassica rapa subsp. rapa,Vegetable,Rabi,60,"Punjab, Haryana, Himachal Pradesh"
Fenugreek Leaves,Trigonella foenum-graecum,Vegetable,Rabi,45,"Rajasthan, Gujarat, Maharashtra"
Coriander Leaves,Coriandrum sativum,Vegetable,Kharif/Rabi,45,"Madhya Pradesh, Gujarat, Rajasthan"
Mint,Mentha,Vegetable,Kharif/Summer,60,"Uttar Pradesh, Punjab, Haryana"
Black Pepper,Piper nigrum,Spice,Perennial,240,"Kerala, Karnataka, Tamil Nadu"
Cardamom,Elettaria cardamomum,Spice,Perennial,270,"Kerala, Karnataka, Tamil Nadu"
Ginger,Zingiber officinale,Spice,Kharif,240,"Kerala, Karnataka, Assam"
Turmeric,Curcuma longa,Spice,Kharif,240,"Andhra Pradesh, Tamil Nadu, Karnataka"
Coriander Seed,Coriandrum sativum,Spice,Rabi,110,"Madhya Pradesh, Gujarat, Rajasthan"
Cumin,Cuminum cyminum,Spice,Rabi,110,"Gujarat, Rajasthan, Madhya Pradesh"
Fennel,Foeniculum vulgare,Spice,Rabi,120,"Gujarat, Rajasthan, Uttar Pradesh"
Fenugreek Seed,Trigonella foenum-graecum,Spice,Rabi,110,"Rajasthan, Gujarat, Madhya Pradesh"
Chili,Capsicum frutescens,Spice,Kharif/Rabi,150,"Andhra Pradesh, Karnataka, Maharashtra"
Clove,Syzygium aromaticum,Spice,Perennial,300,"Tamil Nadu, Kerala, Karnataka"
Cinnamon,Cinnamomum verum,Spice,Perennial,300,"Kerala, Tamil Nadu, Karnataka"
Nutmeg,Myristica fragrans,Spice,Perennial,300,"Kerala, Tamil Nadu, Karnataka"
Mustard Seed,Brassica nigra,Spice,Rabi,110,"Rajasthan, Madhya Pradesh, Haryana"
Tamarind,Tamarindus indica,Spice,Perennial,360,"Tamil Nadu, Karnataka, Andhra Pradesh"
Tea,Camellia sinensis,Plantation,Perennial,300,"Assam, West Bengal, Tamil Nadu"
Coffee,Coffea arabica,Plantation,Perennial,270,"Karnataka, Kerala, Tamil Nadu"
Coconut,Cocos nucifera,Plantation,Perennial,360,"Kerala, Tamil Nadu, Karnataka"
Arecanut,Areca catechu,Plantation,Perennial,360,"Karnataka, Kerala, Assam"
Cashew,Anacardium occidentale,Plantation,Perennial,360,"Maharashtra, Andhra Pradesh, Odisha"
Rubber,Hevea brasiliensis,Plantation,Perennial,360,"Kerala, Tripura, Karnataka"
Cocoa,Theobroma cacao,Plantation,Perennial,360,"Andhra Pradesh, Kerala, Karnataka"
Mango,Mangifera indica,Fruit,Perennial,120,"Andhra Pradesh, Uttar Pradesh, Karnataka"
Banana,Musa acuminata,Fruit,Perennial,300,"Tamil Nadu, Gujarat, Maharashtra"
Citrus / Orange,Citrus reticulata,Fruit,Perennial,240,"Maharashtra, Madhya Pradesh, Assam"
Apple,Malus domestica,Fruit,Perennial,150,"Jammu & Kashmir, Himachal Pradesh, Uttarakhand"
Guava,Psidium guajava,Fruit,Perennial,150,"Uttar Pradesh, Madhya Pradesh, Bihar"
Papaya,Carica papaya,Fruit,Perennial,240,"Andhra Pradesh, Gujarat, Karnataka"
Grapes,Vitis vinifera,Fruit,Perennial,120,"Maharashtra, Karnataka, Tamil Nadu"
Pomegranate,Punica granatum,Fruit,Perennial,150,"Maharashtra, Gujarat, Karnataka"
Pineapple,Ananas comosus,Fruit,Perennial,360,"West Bengal, Assam, Kerala"
Litchi,Litchi chinensis,Fruit,Perennial,100,"Bihar, West Bengal, Uttarakhand"
Jackfruit,Artocarpus heterophyllus,Fruit,Perennial,180,"Tripura, West Bengal, Karnataka"
Peach,Prunus persica,Fruit,Perennial,120,"Uttarakhand, Himachal Pradesh, Jammu & Kashmir"
Plum,Prunus domestica,Fruit,Perennial,120,"Himachal Pradesh, Jammu & Kashmir, Uttarakhand"
Apricot,Prunus armeniaca,Fruit,Perennial,120,"Jammu & Kashmir, Himachal Pradesh, Uttarakhand"
Pear,Pyrus communis,Fruit,Perennial,130,"Jammu & Kashmir, Himachal Pradesh, Uttarakhand"
Sapota,Manilkara zapota,Fruit,Perennial,240,"Karnataka, Gujarat, Maharashtra"
Strawberry,Fragaria ananassa,Fruit,Rabi,90,"Maharashtra, Himachal Pradesh, Jammu & Kashmir"
Watermelon,Citrullus lanatus,Fruit,Summer,90,"Uttar Pradesh, Andhra Pradesh, Tamil Nadu"
Muskmelon,Cucumis melo,Fruit,Summer,90,"Uttar Pradesh, Andhra Pradesh, Punjab"
Custard Apple,Annona squamosa,Fruit,Perennial,120,"Andhra Pradesh, Maharashtra, Gujarat"
Fig,Ficus carica,Fruit,Perennial,150,"Maharashtra, Gujarat, Karnataka"
Rose,Rosa,Floriculture,Perennial,60,"Karnataka, Tamil Nadu, West Bengal"
Marigold,Tagetes,Floriculture,Kharif/Rabi,75,"Karnataka, Madhya Pradesh, Tamil Nadu"
Jasmine,Jasminum,Floriculture,Perennial,90,"Tamil Nadu, Karnataka, Andhra Pradesh"
